texto,materia
"Quais são as fases da mitose?",Biologia
"A meiose é um processo de divisão celular que ao concluir-se obtém:
a) duas células com mesmo número de cromossomos da célula original
b) duas células com metade do número de cromossomos da célula original
c) quatro células-filhas haploides
d) quatro células-filhas diploides",Biologia
"Quais são as teorias da evolução?",Biologia
"Quais são os gêneros literários?",Literatura
"Quais foram os principais movimento literários?",Literatura
"Que tipos de versos podemos encontrar em um poema?",Literatura
"Como estruturar um poema?",Literatura
"Quando se passou o trovadorismo?",Literatura
"A carta de Pero Vaz de Caminha permite entender o projeto colonizador para a nova terra. Nesse trecho, o relato enfatiza o seguinte objetivo:

a) Valorizar a catequese a ser realizada sobre os povos nativos.
b) Descrever a cultura local para enaltecer a prosperidade portuguesa.
c) Transmitir o conhecimento dos indígenas sobre o potencial econômico existente.
d) Realçar a pobreza dos habitantes nativos para demarcar a superioridade europeia.
e) Criticar o modo de vida dos povos autóctones para evidenciar a ausência de trabalho.",Literatura
"O que é um intertexto?",Literatura
"Qual a estrutura de um soneto?",Literatura
"(UFRN) A obra de Gregório de Matos - autor que se destaca na literatura barroca brasileira - compreende:

a) poesia épico-amorosa e obras dramáticas.
b) poesia satírica e contos burlescos.
c) poesia lírica, de caráter religioso e amoroso, e poesia satírica.
d) poesia confessional e autos religiosos.
e) poesia lírica e teatro de costumes.",Literatura
"Imperador responsável pela unificação do Baixo e Alto Egito, em 3.200 a.C.:

a) Amenófis IV.
b) Menés.
c) Ramsés II.
d) Amenhotep III.
e) Tutancâmon.",História
"Quando foram construidas as pirâmides do antigo Egito?",História
"Quais eventos foram responsáveis por desencadear a revolução francesa?",História
"O mencionado 'instrumento de emergência' - o'terror' - foi aplicado em sua forma típica, na Revolução Francesa:

a) durante a reação aristocrática de 1787-1788.
b) por Napoleão Bonaparte, na fase do Diretório.
c) no período da ditadura do Comitê de Salvação Pública.
d) pelos girondinos contra os bonapartistas.
e) por Luís XVI contra os camponeses da Vendeia.",História
"Quando foi período do Brasil colônia?",História
"Quais são as características do Capitalismo?",História
"Quais foram os principais eventos durante a guerra fria?",História
"(Mackenzie) As Guerras Púnicas, conflitos entre Roma e Cartago, no século II a.C., foram motivadas:
a) pela disputa pelo controle do comércio no Mar Negro e posse das colônias gregas.
b) pelo controle das regiões da Trácia e Macedônia e o monopólio do comércio no Mediterrâneo.
c) pelo domínio da Sicília e disputa pelo controle do comércio no Mar Mediterrâneo.
d) pela divisão do Império Romano entre os generais romanos e a submissão de Siracusa a Cartago.
e) pelo conflito entre o mundo romano em expansão e o mundo bárbaro persa.",História
"(Mackenzie) Durante a República Romana, a conquista da igualdade civil e política, os tribunos da plebe e a lei das Doze tábuas foram decorrentes:

a) da marginalização política, discriminação social e desigualdade econômica que afetavam a plebe romana.
b) da crise do sistema escravista de produção, transformando escravos em colonos e consequente declínio da agricultura.
c) do elevado poder do exército, que para conter a pressão das invasões bárbaras realizou reformas político-administrativas.
d) do afluxo de riqueza para Roma devido às conquistas e enfraquecimento da classe equestre.
e) da elevação do cristianismo que pregava a igualdade de todos os homens.",História

